id,content,keywords
321751,if you account every single nft available to buy the target goes to 24k eth,"['ether (also known as ethereum)', 'eth']"
321756,balancer shimmer supply of333 cost 333 eth sure friend,"['ether (also known as ethereum)', 'eth']"
321837,8k in eth withdrawal should be noticeable even if split across a few wallets,"['ether (also known as ethereum)', 'eth']"
321839,reasonably safe if done correctly if you are impatient or pull out as much as you put in its obvioustheres some deniability which is nice but its nothing like privacy first tech aztec secret etc,"['ethereum classic', 'etc']"
321842,on which testnet can i get like a thousand eth easy,"['ether (also known as ethereum)', 'eth']"
321848,in case of an investigation by the irs i am just hypothesizing and condone anyone who does this and i am not even sure this method would work dont do this no sarcasm1 you supposedly anonymously create a shitcoin call it time and buy it from your actual clean wallet worth 10k usd only at the start2 you proceed buy it then from the dirty wallets create volumes make a community do bribes etc that all creates legitimacy around the coin3 along the way people buy and sell so you might be buying someone elses bags and as such you should consider it as an expense like 10 for washing and ofc you can stop buying at any pointthis is much harder to do than you think you need more legitimacy around the project but this is the tldr option you might end up losing too much in this case but this is one of the options in the growing market you can even make more this way than the notional you had,"['ethereum classic', 'etc']"
321869,total now is around 150k eth so prob around 5,"['ether (also known as ethereum)', 'eth']"
321875,500 unique users per week46k eth withdrawals per month 115 per weekso withdrawals above 45 eth 2x avg per week might trigger some pointers i presume,"['ether (also known as ethereum)', 'eth', 'ether (also known as ethereum)', 'eth', '500', 'unique', 'users', 'week46k', 'eth', 'withdrawals', 'month', '115', 'weekso', 'withdrawals', '45', 'eth', '2x', 'avg', 'week', 'trigger', 'pointers', 'presume']"
321877,sifu tornado 150k eth,"['ether (also known as ethereum)', 'eth']"
321901,yes i tried to deposit funds from the sale of an ape i minted into a crypto native bank and they rejected it citing a lack of kyc on opensea now imagine showing them a project where you are the only one profiting maybe a bank less familiar with crypto wouldnt think about these things who knows,"['know your customer', 'kyc']"
321935,hey guys i am having an open discussion with adtiya from derivadex right now on zoom feel free to hop on if interested about derivatives and hardware innovations in defi,"['decentralized finance', 'defi']"
321939,hardware in defi,"['decentralized finance', 'defi']"
321959,also feel free to join we are in the process of setting up a juicebox to donate eth in exchange for the justice token which will govern the dao and be eligible for fractionaliztion for the jullian assange x pak nft collaboration all proceeds raised will be used to fund legal fees for julian assange in his us extradition case,"['ether (also known as ethereum)', 'eth']"
322002,in 20 min at the top of the hour scbuergel is going take a break from shitposting in lobster chat to come talk about metadata collection and leakage in defi weve collected all of your ips paired them to your eth addresses and are forwarding them to the irs if you dont come and join,"['decentralized finance', 'defi', 'ether (also known as ethereum)', 'eth', '20', 'min', 'hour', 'scbuergel', 'going', 'break', 'shitposting', 'lobster', 'chat', 'come', 'talk', 'metadata', 'collection', 'leakage', 'defi', 've', 'collected', 'ips', 'paired', 'eth', 'addresses', 'forwarding', 'irs', 'nt', 'come', 'join']"
322020,yeah seems like theres an nft sale so lots of people are paying 12 eth in tips for priority,"['ether (also known as ethereum)', 'eth']"
322046,youtube defi rug anything finance youtube run redacted the message but if you wanna learn the basics finematics and whiteboard crypto make decent videos wo inherent shilling,"['decentralized finance', 'defi']"
322117,dumb question but how would i figure out what types of collateral have been liquidated during a market downturn for example were most liquidated loans backed by eth or some other asset or a basket of assets on makercompoundaave,"['ether (also known as ethereum)', 'eth']"
322118,is there a dune dash for this,"['dash', 'dash']"
322123,i ask because im wondering if there is a way to build a portfolio of assets to borrow against that is resistant to huge market downturns in eth and btc but also still has some upside,"['ether (also known as ethereum)', 'eth']"
322144,yeah the guy who uses every single popular defi drama for his own self promotion is not trying to be opportunistic here once again he just cares for the poor frogs,"['decentralized finance', 'defi']"
322169,never been part of any defi dramas not to mention profited this particular situation matters to me a lot because practices of the frog nation go against everything i believe in honesty,"['decentralized finance', 'defi']"
322178,i agree 6 months from now a new wonderland will pop up and another bunch of crypto newcomers will get rekt for good and never come back we can do better than just leave it,"['“wrecked” (meaning major losses)', 'rekt']"
322194,whos we im not involved with any of their projects are you if not maybe step back and let them solve or do whatever they want sjw in defi is not needed anyway this is not the chat for such things many can argue against governance and many for one opinion is no better than the other,"['decentralized finance', 'defi']"
322197,defi wont ever evolve from the wildwildwest with this mentality itll stay a fun casino and thats it,"['decentralized finance', 'defi']"
322212,defi is not a single organism and we do not control it or need to direct it into the right direction devs build users invest into whatever they want freedom,"['decentralized finance', 'defi']"
322213,this is probably the most underrated aspect of defi,"['decentralized finance', 'defi']"
322238,part of the efficiency is in saving in storage spaceeg right now an eth transaction means youre storing the full call params of what youre doing on chain thats how you prove that youre really sending those tokenswith zk proofs in theory you can just store a proof that those tokens were transfered without ever having the need to store the transaction details themselves,"['ether (also known as ethereum)', 'eth']"
322256,fwiw im glad we have at least l1 project eth thats more idealistic than the rest which are justifiably cutting some corners,"['ether (also known as ethereum)', 'eth']"
322262,all l1s are cutting corners except eth,"['ether (also known as ethereum)', 'eth']"
322302,hi sorry i meant whether it was new to fantom as i dont remember them having this scaling direction would love to see more details also great to see more blockchains exploring horizontal scaling vs the vertical l2 scaling on eth,"['ether (also known as ethereum)', 'eth']"
322390,just wormhole eth exploited,"['ether (also known as ethereum)', 'eth']"
322404,or whatever the synthetic wormhole eth deriv is called,"['ether (also known as ethereum)', 'eth']"
322405,soeth is sollet eth,"['ether (also known as ethereum)', 'eth']"
322408,wat how is soeth related to wormhole eth,"['ether (also known as ethereum)', 'eth']"
322409,if anything it pumps because people dump wormhole eth for soeth,"['ether (also known as ethereum)', 'eth']"
322412,wormhole eth soeth,"['ether (also known as ethereum)', 'eth']"
322414,whats the ticker for wormhole eth,"['ether (also known as ethereum)', 'eth']"
322415,im guessing nobody in solana rn wants to be holding any synth eth,"['ether (also known as ethereum)', 'eth']"
322418,wormhole eth on solana is just eth lol,"['ether (also known as ethereum)', 'eth', 'ether (also known as ethereum)', 'eth', 'wormhole', 'eth', 'solana', 'eth', 'lol']"
322419,ticker is eth,"['ether (also known as ethereum)', 'eth']"
322423,anyways you want to borrow wormhole eth and sell it,"['ether (also known as ethereum)', 'eth']"
322433,wait this was exploited for real eth,"['ether (also known as ethereum)', 'eth']"
322438,yes the backing of wormhole eth has been wiped out,"['ether (also known as ethereum)', 'eth']"
322440,the hacker receive initial eth from tornado,"['ether (also known as ethereum)', 'eth']"
322441,if wormhole eth falls there might be a play to buy it hoping alameda drops their lunch money to cover hackif it doesnt fall the play is to borrow it on solend and sell it hoping to pay back loan cheaper,"['ether (also known as ethereum)', 'eth']"
322445,what could be the effects on solana defi i imagine,"['decentralized finance', 'defi']"
322448,there seems to be quite some time between contract deployment and funding from tornado and the actual drainage so a tool we spoke of before could have detected this but my issue is what would be the playbook you cant stop contracts every time such shit happens what if somebody is just messing with you so how would you even pause or unpause given you dont even know if there is an issue and if yes what it is bantegnvm this was an eoa on eth side,"['ether (also known as ethereum)', 'eth']"
